*********************************************************************
************ Scheduling algorithm: Round Robin ***********************
************ ( No. of Task = 50  Quantum = 64 ) **********************
*********************************************************************
 pid arrival CPU-burst   finish  waiting     turn  response Context
   1       0         8      8.0      0.0      8.0       0.0       0
   2       1         3     11.0      7.0     10.0       7.0       0
   3       5        26     37.0      6.0     32.0       6.0       0
   4      11         3     40.0     26.0     29.0      26.0       0
   5      15        13     53.0     25.0     38.0      25.0       0
   6      17        20     73.0     36.0     56.0      36.0       0
   7      22        16     89.0     51.0     67.0      51.0       0
   8      25        23    112.0     64.0     87.0      64.0       0
   9      28        37    149.0     84.0    121.0      84.0       0
  10      33        45    194.0    116.0    161.0     116.0       0
  11      36         9    203.0    158.0    167.0     158.0       0
  12      39        11    214.0    164.0    175.0     164.0       0
  13      46         3    217.0    168.0    171.0     168.0       0
  14      51         6    223.0    166.0    172.0     166.0       0
  15      53        15    238.0    170.0    185.0     170.0       0
  16      57         3    241.0    181.0    184.0     181.0       0
  17      62        10    251.0    179.0    189.0     179.0       0
  18      67        23    274.0    184.0    207.0     184.0       0
  19      74         8    282.0    200.0    208.0     200.0       0
  20      79         1    283.0    203.0    204.0     203.0       0
  21      84        16    299.0    199.0    215.0     199.0       0
  22      89        15    314.0    210.0    225.0     210.0       0
  23      93         8    322.0    221.0    229.0     221.0       0
  24      96        22    344.0    226.0    248.0     226.0       0
  25     102        16    360.0    242.0    258.0     242.0       0
  26     108        14    374.0    252.0    266.0     252.0       0
  27     110        23    397.0    264.0    287.0     264.0       0
  28     116        24    421.0    281.0    305.0     281.0       0
  29     121        14    435.0    300.0    314.0     300.0       0
  30     127         6    441.0    308.0    314.0     308.0       0
  31     131        19    460.0    310.0    329.0     310.0       0
  32     136         4    464.0    324.0    328.0     324.0       0
  33     142         9    473.0    322.0    331.0     322.0       0
  34     146        16    489.0    327.0    343.0     327.0       0
  35     151        10    499.0    338.0    348.0     338.0       0
  36     156         8    507.0    343.0    351.0     343.0       0
  37     158        24    531.0    349.0    373.0     349.0       0
  38     164         9    540.0    367.0    376.0     367.0       0
  39     171        19    559.0    369.0    388.0     369.0       0
  40     175         7    566.0    384.0    391.0     384.0       0
  41     180         5    571.0    386.0    391.0     386.0       0
  42     185         2    573.0    386.0    388.0     386.0       0
  43     189        18    591.0    384.0    402.0     384.0       0
  44     197        10    601.0    394.0    404.0     394.0       0
  45     201        23    624.0    400.0    423.0     400.0       0
  46     206        11    635.0    418.0    429.0     418.0       0
  47     214        16    651.0    421.0    437.0     421.0       0
  48     220         7    658.0    431.0    438.0     431.0       0
  49     224        27    685.0    434.0    461.0     434.0       0
  50     226         2    687.0    459.0    461.0     459.0       0
Average CPU burst time = 13.5 ms,   Average waiting time = 244.5 ms
Average turn around time = 258.0 ms,  Average response time = 244.5 ms
Total No. of Context Switching Performed = 0
