*********************************************************************
************ Scheduling algorithm: Round Robin ***********************
************ ( No. of Task = 50  Quantum = 16 ) **********************
*********************************************************************
 pid arrival CPU-burst   finish  waiting     turn  response Context
   1       0         8      8.0      0.0      8.0       0.0       0
   2       1         3     11.0      7.0     10.0       7.0       0
   3       5        26    102.5     71.5     97.5       6.0       1
   4      11         3     30.5     16.5     19.5      16.5       0
   5      15        13     43.5     15.5     28.5      15.5       0
   6      17        20    186.5    149.5    169.5      26.5       1
   7      22        16     76.0     38.0     54.0      38.0       0
   8      25        23    260.0    212.0    235.0      51.0       1
   9      28        37    648.5    583.5    620.5      74.5       2
  10      33        45    664.5    586.5    631.5      86.0       2
  11      36         9    144.5     99.5    108.5      99.5       0
  12      39        11    155.5    105.5    116.5     105.5       0
  13      46         3    158.5    109.5    112.5     109.5       0
  14      51         6    164.5    107.5    113.5     107.5       0
  15      53        15    179.5    111.5    126.5     111.5       0
  16      57         3    182.5    122.5    125.5     122.5       0
  17      62        10    196.5    124.5    134.5     124.5       0
  18      67        23    581.0    491.0    514.0     129.5       1
  19      74         8    221.0    139.0    147.0     139.0       0
  20      79         1    222.0    142.0    143.0     142.0       0
  21      84        16    238.0    138.0    154.0     138.0       0
  22      89        15    253.0    149.0    164.0     149.0       0
  23      93         8    268.0    167.0    175.0     167.0       0
  24      96        22    628.5    510.5    532.5     172.0       1
  25     102        16    300.5    182.5    198.5     182.5       0
  26     108        14    314.5    192.5    206.5     192.5       0
  27     110        23    635.5    502.5    525.5     204.5       1
  28     116        24    643.5    503.5    527.5     215.0       1
  29     121        14    378.0    243.0    257.0     243.0       0
  30     127         6    384.0    251.0    257.0     251.0       0
  31     131        19    651.5    501.5    520.5     253.0       1
  32     136         4    421.0    281.0    285.0     281.0       0
  33     142         9    430.0    279.0    288.0     279.0       0
  34     146        16    446.0    284.0    300.0     284.0       0
  35     151        10    456.0    295.0    305.0     295.0       0
  36     156         8    464.0    300.0    308.0     300.0       0
  37     158        24    672.5    490.5    514.5     306.0       1
  38     164         9    489.5    316.5    325.5     316.5       0
  39     171        19    675.5    485.5    504.5     318.5       1
  40     175         7    513.0    331.0    338.0     331.0       0
  41     180         5    518.0    333.0    338.0     333.0       0
  42     185         2    520.0    333.0    335.0     333.0       0
  43     189        18    677.5    470.5    488.5     331.0       1
  44     197        10    546.5    339.5    349.5     339.5       0
  45     201        23    684.5    460.5    483.5     345.5       1
  46     206        11    574.0    357.0    368.0     357.0       0
  47     214        16    597.0    367.0    383.0     367.0       0
  48     220         7    604.0    377.0    384.0     377.0       0
  49     224        27    695.5    444.5    471.5     380.0       1
  50     226         2    622.5    394.5    396.5     394.5       0
Average CPU burst time = 13.5 ms,   Average waiting time = 270.0 ms
Average turn around time = 283.5 ms,  Average response time = 198.5 ms
Total No. of Context Switching Performed = 17
